,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj.101,3.592799113236999,0.388778768009039,2.84903409150682,3.3216769367972527,3.5908567678819487,3.8476588834289602,4.355537270147263,0.016355589364584134
a_subj.102,2.5638520861105776,0.34985349268237287,1.9266328482447275,2.3102107213620138,2.5564229327816825,2.797707510255639,3.2502772822622727,0.017706885096185676
a_subj.103,2.562099941547101,0.34586286826919593,1.9364660801422564,2.3188075926195437,2.550183089194422,2.7924956294699106,3.281406086172391,0.0199760726936116
a_subj.104,1.7417784901988198,0.32037232354095396,1.167194793888853,1.5132890435648778,1.7266847349784582,1.9473619000749403,2.4168892747442317,0.019603650313842525
a_subj.105,2.1301123384028195,0.3491264603154526,1.4981382284061109,1.883777252088072,2.120420739580142,2.361927916862425,2.842939837170049,0.02105950262519798
a_subj.106,1.7366324148527825,0.28964884278652697,1.1900204695410923,1.5368970371148678,1.7249131932686015,1.9250947737913584,2.3446381753684413,0.01612777285712124
a_subj.108,2.8960489477487688,0.36481705520371943,2.189485118242157,2.6612793739850815,2.8895838412228696,3.1492735083729935,3.6103843249429532,0.01825996117185253
a_subj.109,3.461432241616712,0.444363586879233,2.650561785377306,3.1590429957926682,3.4201950249594493,3.737832726137371,4.4696904299756035,0.025527465252351424
a_subj.110,1.9961249980477798,0.28627751346033536,1.4901643239846802,1.7902416637839609,1.978723148901334,2.1832462937067714,2.597660245293725,0.014875662076962799
a_subj.111,2.8560584517752776,0.40807622365199325,2.115034439064141,2.572682296251007,2.8293430233093466,3.118620286006,3.692075441412583,0.024690733593068205
a_subj.112,1.8125620965212819,0.3057518080533723,1.3539487817735711,1.5741495860287573,1.7620225483937946,1.9991499861415982,2.5235153375217405,0.015364296778870346
a_subj.113,2.413487718982128,0.31279399674125236,1.8730009182166791,2.1881409830736147,2.3984451156211923,2.6134962061105753,3.025893374405704,0.013397464502767653
a_subj.115,2.4695996311488777,0.29065953174667875,1.9405752694433427,2.269883215186148,2.452543851138577,2.6744905543469244,3.0479288329972536,0.011828336047578249
a_subj.117,2.1557705817440236,0.3547803432032663,1.5056268491673572,1.9114022731973563,2.153616770848937,2.401899773740841,2.8742830669539323,0.018491767051787695
a_subj.118,3.252422591331265,0.4003472090092994,2.494729137345143,2.9755295478009334,3.242763802954975,3.5225188090192394,4.054513461558711,0.020562594688058877
a_subj.119,3.662362411736244,0.4547112670121448,2.85809636094073,3.347120578443561,3.627880120050178,3.9581373490688945,4.649170212246371,0.021612240957095623
a_subj.120,2.559961709560967,0.33326773121716247,1.9526155088721406,2.3231571805569895,2.567616300895015,2.7757675617960995,3.2316096591278463,0.015596787699567122
a_subj.121,1.0275564948126994,0.09348628181153172,0.8694120635663238,0.9607014026102286,1.0177824439338534,1.086489137163206,1.2253735112439659,0.002975329468010373
a_subj.122,2.3722673371049208,0.3343232552006329,1.721542538392618,2.1459261607617526,2.369414318470012,2.593240467703621,3.055246911244759,0.017707468569075176
a_subj.123,2.5444925457773966,0.33885493373412756,1.8810020914627588,2.314643544212081,2.5425515973012858,2.767489470741495,3.218880667372358,0.015896330679864977
