,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj.54,3.3438362057286444,0.5283743928773178,2.3783838084546773,2.978549989521934,3.314266173636323,3.6836423312686857,4.441410912026325,0.014233108399793516
a_subj.56,2.3292936414476526,0.39923909522495804,1.630384025448818,2.0469616899335352,2.2965511433042156,2.5749572482146665,3.1812398838428604,0.008719301016636523
a_subj.57,2.1023647935168936,0.4211897975333879,1.3475490766633098,1.8068505673310826,2.0814612511911674,2.3795473193327474,2.9755920787087833,0.009782007493901988
a_subj.58,3.602759273681242,0.5883146256092322,2.4910189933116835,3.20391289897008,3.57512378610242,3.9737405331791003,4.820809974452909,0.014585923530940023
a_subj.60,1.0236114974530097,0.09644688187297627,0.8592873745475261,0.9555976963556888,1.0152983744358974,1.0835253835591125,1.2348216508595522,0.001330182640564548
a_subj.62,1.2285147900940356,0.10040085979074048,1.0447416217392638,1.1582551079135717,1.2236470806699669,1.2933014281050523,1.4376822232685909,0.0014271548013241894
a_subj.63,1.9648080876282998,0.45835969618533695,1.2770764347605466,1.6007304990964524,1.889005582971691,2.2800971341402008,2.9559690304971578,0.012622578231482015
a_subj.64,0.9494358407023709,0.07484949747358116,0.8188118338536291,0.8970481158768738,0.9443600316564964,0.9961004856838767,1.1104501795995798,0.0009337100392794496
a_subj.65,2.388260814927001,0.4212578337880954,1.637897087033507,2.094495616896875,2.3654674278456778,2.6514113571558235,3.2698907519343945,0.00951930972549356
a_subj.66,1.6024331640918947,0.4310556388931302,1.089427068957613,1.2986071421117265,1.4650837916341386,1.7976061453093644,2.7285451337544364,0.01335412295131382
a_subj.67,2.338405537068352,0.3562547794197506,1.7351800437828022,2.075487795509224,2.310343512206394,2.568083690344651,3.099450510810434,0.007484808766893983
a_subj.68,2.88695167550686,0.49162064428203844,1.9906716854334112,2.5519380819494466,2.854877272592371,3.195709034225957,3.954016945902444,0.010848123467703355
a_subj.69,1.6315162431223256,0.19659486522065794,1.313232346323549,1.4928321945659677,1.6096023258159344,1.7433142883964585,2.077667551166437,0.0030300453874733064
a_subj.70,1.251455147963022,0.16605020963782452,1.0171897954112297,1.1503824731145822,1.231551394478096,1.3256040379267688,1.5764762131406718,0.0037664437648987845
a_subj.71,3.86220925539394,0.544587129889717,2.822962789580921,3.4846112883676916,3.8496022316872183,4.21840027137305,4.982366064836002,0.012785298265374659
a_subj.72,2.001518951807256,0.49034367175951266,1.1481911054382847,1.6399801261575881,1.9918524335042906,2.3325619426731086,3.0111775437888393,0.0134356200162041
a_subj.76,3.1961185007859134,0.5105551582460335,2.2920292570678114,2.8278785339773376,3.1742982759785594,3.5350124022750964,4.247450806572981,0.011357098483568539
a_subj.78,1.9564051211303133,0.46530262015003443,1.2025950024316812,1.6058915970579215,1.9159783779625121,2.2618453537831607,2.9701004235557797,0.012565917460311566
a_subj.80,2.7118815611057645,0.44597301428923125,1.8848826405549244,2.398160530742725,2.6966879658583025,3.0079457874269524,3.631955943324988,0.008684662620869654
