subj_idx,condition,congruency,response,rt
3,standard,congruent,1,0.6747000000001863
3,standard,congruent,1,0.5189000000003725
3,standard,congruent,1,0.6992999999998137
3,standard,incongruent,1,1.2167999999998138
3,standard,incongruent,1,0.8297000000001863
3,standard,incongruent,1,0.7082999999998137
3,standard,incongruent,1,0.6961000000005588
3,standard,congruent,1,0.6392000000001863
3,standard,incongruent,1,0.6027000000001863
3,standard,congruent,1,0.5615
3,standard,incongruent,0,0.37940000000037255
3,standard,congruent,1,0.6183999999994412
3,standard,congruent,1,0.5595
3,standard,incongruent,1,0.629
3,standard,congruent,1,1.0896000000005588
3,standard,incongruent,1,0.7841000000005588
3,enhanced,congruent,1,0.5472999999998137
3,enhanced,incongruent,1,0.6042000000001863
3,enhanced,incongruent,1,0.8040999999996274
3,enhanced,incongruent,1,0.5502000000001863
3,enhanced,incongruent,1,0.5905999999996274
3,enhanced,congruent,1,0.9017999999998138
3,enhanced,congruent,1,0.6100999999996275
3,enhanced,congruent,1,0.6896999999992549
3,enhanced,congruent,1,1.0043999999994413
3,enhanced,incongruent,1,0.5962000000001862
3,enhanced,incongruent,1,0.7293999999994412
3,enhanced,congruent,1,0.6075999999996274
3,enhanced,congruent,1,0.7400999999996275
3,enhanced,congruent,1,0.49719999999925496
3,enhanced,incongruent,1,0.7415999999996274
3,enhanced,incongruent,1,0.6439000000003725
3,enhanced,congruent,1,0.566
3,enhanced,congruent,1,0.6892000000001862
3,enhanced,congruent,1,0.6295
3,enhanced,congruent,1,0.5455
3,enhanced,incongruent,1,0.5552999999998137
3,enhanced,incongruent,1,0.704
3,enhanced,congruent,1,0.5772000000001862
3,enhanced,incongruent,1,0.6582000000001863
3,enhanced,congruent,1,0.4907999999998137
3,enhanced,incongruent,1,0.8466999999992549
3,enhanced,incongruent,1,0.7202999999998138
3,enhanced,incongruent,1,1.277199999999255
3,enhanced,incongruent,1,0.5850999999996275
3,enhanced,incongruent,1,0.9605
3,enhanced,congruent,1,0.553
3,enhanced,congruent,1,0.796199999999255
3,enhanced,incongruent,1,1.0200999999996274
3,enhanced,incongruent,1,0.7155
3,enhanced,congruent,1,0.8707000000001862
3,enhanced,congruent,1,0.8697999999998137
3,enhanced,incongruent,1,0.7602000000001863
3,enhanced,incongruent,1,0.8714000000003725
3,enhanced,congruent,1,0.6009000000003726
3,enhanced,incongruent,1,1.0789000000003726
3,enhanced,congruent,1,0.5919000000003726
3,enhanced,congruent,1,0.659
3,enhanced,incongruent,1,0.6564000000003726
3,enhanced,incongruent,1,0.7804000000003726
3,enhanced,incongruent,1,0.7327999999998137
3,enhanced,congruent,1,0.6807000000001863
3,enhanced,congruent,1,0.5570999999996274
3,enhanced,congruent,1,0.7548999999994412
3,enhanced,congruent,1,0.7213999999994412
3,enhanced,incongruent,1,1.2502000000001863
3,enhanced,incongruent,1,0.6002000000001863
3,enhanced,congruent,1,0.6081000000005587
3,enhanced,incongruent,1,0.6085999999996274
3,enhanced,congruent,1,0.5777999999998137
3,enhanced,congruent,1,0.5687999999998138
3,enhanced,incongruent,1,0.5685999999996275
3,enhanced,incongruent,1,0.9816000000005588
3,enhanced,incongruent,1,0.5845
3,enhanced,congruent,1,0.619
3,enhanced,congruent,1,0.5371000000005588
3,enhanced,incongruent,1,0.7780999999996274
3,enhanced,incongruent,1,0.5985
3,enhanced,congruent,1,0.5559000000003725
3,enhanced,congruent,1,0.6366000000005588
3,degraded,incongruent,1,0.6482000000001863
3,degraded,congruent,1,0.565
3,degraded,incongruent,1,0.6579000000003725
3,degraded,incongruent,1,0.565
3,degraded,incongruent,1,0.953
3,degraded,congruent,1,0.641
3,degraded,congruent,1,0.5282000000001863
3,degraded,incongruent,1,0.807
3,degraded,congruent,1,0.775
3,degraded,incongruent,1,0.8978000000007451
3,degraded,congruent,1,0.9247000000001863
3,degraded,congruent,1,0.6085
