  dataset        a v_neutral t0_neutral   v_cued  t0_cued  penalty      fit     time   method
 cueing_DDM_subject199   1.2343   3.8181   0.4194   7.7583   0.4121   0.0000 -99.4369   0.0040       ML
 cueing_DDM_subject2   0.9093   3.7334   0.3726   6.0256   0.3585   0.0000 -99.9974   0.0060       ML
 cueing_DDM_subject20   2.2189   5.1290   0.4114   4.8548   0.3230   0.0000 -65.0592   0.0040       ML
 cueing_DDM_subject200   1.0801   4.8202   0.4007   4.9856   0.3330   0.0000 -94.3279   0.0050       ML
 cueing_DDM_subject202   1.9176   3.8386   0.3343   4.7395   0.2909   0.0000 -59.0513   0.0040       ML
 cueing_DDM_subject204   1.3557   2.9717   0.4019   4.0006   0.3002   0.0000 -55.1601   0.0030       ML
 cueing_DDM_subject205   1.1766   4.5400   0.4196   4.4505   0.3454   0.0000 -83.3988   0.0040       ML
 cueing_DDM_subject206   0.9658   3.2395   0.3819   3.1030   0.3217   0.0000 -65.0242   0.0050       ML
 cueing_DDM_subject207   1.2169   1.8095   0.3327   1.2447   0.2105   0.0000  -4.2146   0.0040       ML
 cueing_DDM_subject208   0.9836   4.4455   0.4023   5.9752   0.3637   0.0000 -104.1318   0.0050       ML
 cueing_DDM_subject209   1.0066   3.1367   0.3521   4.8349   0.3286   0.0000 -81.1785   0.0050       ML
 cueing_DDM_subject21   1.3961   3.0351   0.3142   6.2593   0.3474   0.0000 -76.0975   0.0050       ML
 cueing_DDM_subject210   1.8571   2.3419   0.4173   2.1336   0.3070   0.0000  -5.0398   0.0030       ML
 cueing_DDM_subject211   1.5805   4.4760   0.4360   2.9090   0.2801   0.0000 -53.5917   0.0040       ML
 cueing_DDM_subject212   1.7601   4.6122   0.3951   6.3208   0.3294   0.0000 -82.9238   0.0040       ML
 cueing_DDM_subject213   1.5069   4.4463   0.3671   5.6308   0.2947   0.0000 -83.8692   0.0050       ML
 cueing_DDM_subject214   0.9975   4.8582   0.4870   3.6226   0.3801   0.0000 -85.7133   0.0070       ML
 cueing_DDM_subject215   3.5476   4.8384   0.3464   9.6220   0.3368   0.0000 -77.4806   0.0070       ML
 cueing_DDM_subject216   1.0588   2.4489   0.3297   4.8309   0.3341   0.0000 -68.6025   0.0070       ML
 cueing_DDM_subject217   1.0814   3.4757   0.3455   6.5724   0.3393   0.0000 -93.8048   0.0060       ML
 cueing_DDM_subject218   1.3214   4.2295   0.2777   7.5782   0.2605   0.0000 -100.1356   0.0080       ML
 cueing_DDM_subject219   1.1094   2.8516   0.4311   3.8871   0.3878   0.0000 -62.1740   0.0060       ML
 cueing_DDM_subject22   2.8381   7.1381   0.3441   7.1611   0.2706   0.0000 -91.3813   0.0060       ML
