  dataset        a v_neutral t0_neutral   v_cued  t0_cued  penalty      fit     time   method
 cueing_DDM_subject89   2.0120   4.2925   0.4168   2.4584   0.2005   0.0000 -29.7955   0.0090       ML
 cueing_DDM_subject9   1.2955   2.9381   0.4013   4.9896   0.3501   0.0000 -68.0203   0.0110       ML
 cueing_DDM_subject90   6.3193   8.5922   0.1895  11.2548   0.2218   0.0000 -91.6834   0.0190       ML
 cueing_DDM_subject91   1.3185   2.5119   0.4223   3.4945   0.3493   0.0000 -45.0752   0.0170       ML
 cueing_DDM_subject93   1.2462   3.2259   0.3404   4.6212   0.3349   0.0000 -69.3404   0.0150       ML
 cueing_DDM_subject94   2.1583   3.9643   0.2769   4.5021   0.2282   0.0000 -54.5344   0.0100       ML
 cueing_DDM_subject95   1.1112   3.0659   0.3634   3.8310   0.3248   0.0000 -65.6416   0.0110       ML
 cueing_DDM_subject96   1.2852   4.0712   0.4625   3.7425   0.3989   0.0000 -67.8892   0.0090       ML
 cueing_DDM_subject97   1.6820   5.1711   0.3352   5.6586   0.2924   0.0000 -84.3987   0.0090       ML
 cueing_DDM_subject98   1.1652   4.0555   0.2726   7.3351   0.2520   0.0000 -100.3722   0.0110       ML
 cueing_DDM_subject99   1.2414   3.2563   0.3168   2.1760   0.2252   0.0000 -37.5990   0.0110       ML
