  dataset        a        v       t0  penalty      fit     time   method
 par_sim1145   1.5372   0.7262   0.4088   0.0000  41.6145   0.0030       ML
 par_sim1146   1.3804   1.1892   0.6066   0.0000  18.2058   0.0030       ML
 par_sim1147   1.5098   1.1436   0.5786   0.0000  23.5671   0.0040       ML
 par_sim1148   1.5591   2.6758   0.6870   0.0000 -22.2804   0.0030       ML
 par_sim1149   1.4348   0.5945   0.4159   0.0000  37.4830   0.0040       ML
 par_sim115   1.1161   1.2966   0.5751   0.0000   2.9187   0.0050       ML
 par_sim1150   1.3565   0.7074   0.5571   0.0000  29.3976   0.0030       ML
 par_sim1151   1.1672   0.5649   0.6325   0.0000  38.7017   0.0030       ML
 par_sim1152   1.2608   1.0576   0.3623   0.0000  13.2810   0.0040       ML
 par_sim1153   1.5318   0.3769   0.7266   0.0000  48.0481   0.0030       ML
 par_sim1154   1.5535   0.4218   0.4399   0.0000  49.5045   0.0040       ML
 par_sim1155   1.0426   0.8139   0.5227   0.0000   5.8458   0.0040       ML
 par_sim1156   1.4178   0.8895   0.6644   0.0000  29.0739   0.0030       ML
 par_sim1157   1.0546   0.9605   0.4303   0.0000   6.1083   0.0030       ML
 par_sim1158   1.6005   0.7825   0.3594   0.0000  41.8224   0.0040       ML
 par_sim1159   1.7607   0.8399   0.5865   0.0000  46.7405   0.0040       ML
 par_sim116   1.6129   1.0833   0.3633   0.0000  32.1984   0.0040       ML
 par_sim1160   1.8824   1.0304   0.2330   0.0000  42.6933   0.0030       ML
 par_sim1161   1.2656   1.1142   0.4103   0.0000  13.5731   0.0040       ML
 par_sim1162   1.5268   0.1594   0.6405   0.0000  50.1805   0.0040       ML
 par_sim1163   1.3229   0.9470   0.4394   0.0000  22.7090   0.0030       ML
 par_sim1164   1.3843   0.8110   0.5190   0.0000  30.7202   0.0040       ML
 par_sim1165   1.2164   0.8464   0.6372   0.0000  19.1507   0.0040       ML
 par_sim1166   1.1808   1.3072   0.5238   0.0000   3.7073   0.0040       ML
 par_sim1167   1.1236   0.2763   0.5484   0.0000  22.6165   0.0030       ML
 par_sim1168   1.3994   0.5973   0.5189   0.0000  36.4430   0.0040       ML
 par_sim1169   1.1849   0.8215   0.5686   0.0000  14.8483   0.0050       ML
 par_sim117   1.9079   1.2829   0.6435   0.0000  31.4981   0.0090       ML
 par_sim1170   1.2406   1.2650   0.5888   0.0000  10.8799   0.0040       ML
 par_sim1171   1.3728   0.4112   0.5968   0.0000  38.7976   0.0030       ML
 par_sim1172   1.2589   0.8292   0.6831   0.0000  21.4924   0.0040       ML
 par_sim1173   1.5042   0.6157   0.5460   0.0000  42.5121   0.0040       ML
 par_sim1174   1.5807   0.5837   0.4469   0.0000  47.7839   0.0030       ML
 par_sim1175   1.9968   1.9879   0.2838   0.0000   5.5951   0.0030       ML
 par_sim1176   0.8764   2.2157   0.5773   0.0000 -33.9730   0.0040       ML
 par_sim1177   1.7860   0.7901   0.5644   0.0000  48.0555   0.0030       ML
 par_sim1178   1.1368   1.3068   0.2398   0.0000   2.8674   0.0030       ML
 par_sim1179   1.2871   0.6612   0.6865   0.0000  26.7510   0.0020       ML
 par_sim118   1.7078   1.1114   0.3945   0.0000  34.5325   0.0020       ML
 par_sim1180   1.2314   0.2646   0.4659   0.0000  28.2220   0.0030       ML
 par_sim1181   0.9304   2.0477   0.6245   0.0000 -26.5382   0.0030       ML
 par_sim1182   1.2237   1.5622   0.6536   0.0000   0.5625   0.0040       ML
 par_sim1183   1.2082   1.1952   0.4195   0.0000   7.3422   0.0040       ML
 par_sim1184   1.5866  -0.0495   0.6858   0.0000  56.9454   0.0030       ML
 par_sim1185   1.4509   1.2457   0.4622   0.0000  18.8539   0.0040       ML
 par_sim1186   1.4589  -0.1076   0.3838   0.0000  48.2885   0.0030       ML
 par_sim1187   1.3384   0.3024   0.4801   0.0000  36.7436   0.0030       ML
 par_sim1188   1.2177   1.4688   0.7339   0.0000   2.3985   0.0020       ML
 par_sim1189   1.7737   1.9810   0.5329   0.0000   2.3332   0.0020       ML
 par_sim119   1.8983   0.8228   0.4991   0.0000  50.4468   0.0020       ML
 par_sim1190   0.9636   0.9753   0.3585   0.0000  -3.1373   0.0040       ML
 par_sim1191   1.5373   0.8832   0.5552   0.0000  35.9565   0.0040       ML
 par_sim1192   1.4393   1.2423   0.4830   0.0000  19.1159   0.0030       ML
 par_sim1193   1.6144   0.9314   0.6617   0.0000  37.0319   0.0030       ML
 par_sim1194   1.3702   0.5365   0.5034   0.0000  36.6109   0.0030       ML
 par_sim1195   1.1275   1.0233   0.5792   0.0000   8.1482   0.0030       ML
 par_sim1196   1.6789   0.1863   0.2271   0.0000  62.2886   0.0030       ML
 par_sim1197   1.4076   1.1960   0.5631   0.0000  18.3318   0.0040       ML
 par_sim1198   1.5364  -0.1027   0.3548   0.0000  53.2074   0.0060       ML
 par_sim1199   0.8489   1.2347   0.3283   0.0000 -18.1273   0.0050       ML
 par_sim12   1.5949   0.6636   0.3139   0.0000  44.2051   0.0030       ML
 par_sim120   1.1295   1.4807   0.3623   0.0000  -3.1612   0.0050       ML
 par_sim1200   1.4479   0.7822   0.4480   0.0000  34.5629   0.0070       ML
 par_sim1201   1.2528   1.2010   0.4392   0.0000  11.5016   0.0040       ML
 par_sim1202   1.5081   0.7555   0.6125   0.0000  38.2810   0.0040       ML
 par_sim1203   1.8016   1.9500   0.5246   0.0000   3.8437   0.0030       ML
 par_sim1204   1.6629   0.3367   0.6785   0.0000  58.5022   0.0030       ML
 par_sim1205   1.3621   0.6742   0.6658   0.0000  33.2105   0.0030       ML
 par_sim1206   1.9540   0.9560   0.5216   0.0000  46.3407   0.0030       ML
 par_sim1207   1.7492  -0.0462   0.5101   0.0000  64.8737   0.0030       ML
 par_sim1208   1.0963   0.8634   0.5955   0.0000   9.2732   0.0040       ML
 par_sim1209   1.4857   1.1165   0.6824   0.0000  24.8033   0.0030       ML
 par_sim121   1.1418   0.5716   0.4343   0.0000  19.0642   0.0040       ML
 par_sim1210   1.6556   0.5123   0.4297   0.0000  52.1183   0.0030       ML
 par_sim1211   1.4094   1.5959   0.5294   0.0000   5.4156   0.0030       ML
 par_sim1212   1.3699   0.5508   0.6783   0.0000  34.6135   0.0030       ML
 par_sim1213   1.2345  -0.0005   0.5307   0.0000  32.0087   0.0030       ML
 par_sim1214   1.0918   0.5180   0.3738   0.0000  15.8587   0.0040       ML
 par_sim1215   1.3845   0.6645   0.7706   0.0000  34.6754   0.0030       ML
 par_sim1216   0.9708   1.2935   0.4740   0.0000  -8.3126   0.0040       ML
 par_sim1217   1.2213   0.2608   0.4258   0.0000  29.0163   0.0040       ML
 par_sim1218   1.5638   1.8304   0.3303   0.0000   2.1366   0.0040       ML
 par_sim1219   1.5196   0.9989   0.5039   0.0000  30.3332   0.0040       ML
 par_sim122   1.4684   0.5051   0.4714   0.0000  42.8310   0.0030       ML
 par_sim1220   1.5456   1.5495   0.6041   0.0000  11.9168   0.0030       ML
 par_sim1221   1.7283   0.9715   0.5558   0.0000  39.0656   0.0040       ML
 par_sim1222   1.3589   0.7545   0.5177   0.0000  30.5621   0.0030       ML
 par_sim1223   1.2945   0.5737   0.5111   0.0000  30.3110   0.0030       ML
 par_sim1224   1.2893   0.6351   0.3421   0.0000  29.8482   0.0030       ML
 par_sim1225   1.2375   1.6771   0.4688   0.0000  -4.2334   0.0040       ML
 par_sim1226   1.2186   1.2229   0.2748   0.0000   9.5712   0.0030       ML
 par_sim1227   1.5428   1.3195   0.4924   0.0000  19.3524   0.0040       ML
 par_sim1228   1.3469   0.6968   0.7185   0.0000  30.4234   0.0030       ML
 par_sim1229   1.4104   0.8857   0.5123   0.0000  29.3150   0.0040       ML
 par_sim123   0.9500   1.4544   0.4729   0.0000 -13.5477   0.0040       ML
 par_sim1230   2.1463   0.7018   0.4915   0.0000  65.3471   0.0030       ML
 par_sim1231   1.5120   0.5523   0.6322   0.0000  44.2424   0.0040       ML
 par_sim1232   1.7265   0.3852   0.5574   0.0000  59.0018   0.0040       ML
 par_sim1233   1.4555   0.9325   0.3882   0.0000  30.4893   0.0040       ML
 par_sim1234   1.0014   1.3682   0.4532   0.0000  -7.5476   0.0030       ML
 par_sim1235   1.3373   0.7034   0.4157   0.0000  29.5645   0.0030       ML
 par_sim1236   1.6046  -0.0493   0.6213   0.0000  57.8951   0.0030       ML
 par_sim1237   1.4670   0.8951   0.6011   0.0000  33.7712   0.0030       ML
